CARRIER,DEST,DISTANCE,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,Flight Status,DEP_DELAY
OH,JFK,184,BWI,0,4,1,ontime,0
DH,JFK,213,DCA,0,4,1,ontime,0
DH,LGA,229,IAD,0,4,1,ontime,0
DH,LGA,229,IAD,0,4,1,ontime,0
DH,LGA,229,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,3
DH,JFK,228,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,9
DH,LGA,229,IAD,0,4,1,ontime,0
DL,JFK,213,DCA,0,4,1,ontime,3
DL,LGA,214,DCA,0,4,1,ontime,2
DL,LGA,214,DCA,0,4,1,ontime,0
DL,LGA,214,DCA,0,4,1,ontime,0
DL,LGA,214,DCA,0,4,1,ontime,0
DL,LGA,214,DCA,0,4,1,ontime,0
MQ,JFK,213,DCA,0,4,1,ontime,0
MQ,JFK,213,DCA,0,4,1,ontime,0
MQ,JFK,213,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
UA,LGA,229,IAD,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
CO,EWR,199,DCA,0,4,1,ontime,0
CO,EWR,199,DCA,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
OH,JFK,184,BWI,0,5,2,ontime,0
DH,JFK,213,DCA,0,5,2,ontime,1
DH,LGA,229,IAD,0,5,2,ontime,4
DH,LGA,229,IAD,0,5,2,delayed,76
DH,LGA,229,IAD,0,5,2,ontime,0
DH,LGA,229,IAD,0,5,2,ontime,5
DH,LGA,229,IAD,0,5,2,delayed,197
DH,JFK,228,IAD,0,5,2,ontime,19
DH,JFK,228,IAD,0,5,2,ontime,0
DH,JFK,228,IAD,0,5,2,ontime,0
DH,JFK,228,IAD,0,5,2,ontime,0
DH,JFK,228,IAD,0,5,2,ontime,1
DH,JFK,228,IAD,0,5,2,delayed,185
DH,JFK,228,IAD,0,5,2,ontime,0
DH,LGA,229,IAD,0,5,2,ontime,0
DL,JFK,213,DCA,0,5,2,ontime,3
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
MQ,JFK,213,DCA,0,5,2,ontime,0
